,listing_id,counteng,pos,neg,zero,wordcount,charcount,sentiment,count
137,530983,17,0.9411764705882353,0.0,0.058823529411764705,68.11764705882354,368.7647058823529,0.37163795908292013,103
138,531552,11,1.0,0.0,0.0,70.54545454545455,386.45454545454544,0.32070205817574243,19
139,533114,8,1.0,0.0,0.0,80.25,433.75,0.4347848445819936,11
140,533152,12,1.0,0.0,0.0,48.333333333333336,272.5833333333333,0.4406881795453224,8
141,536865,139,0.9856115107913669,0.014388489208633094,0.0,66.01438848920863,360.8848920863309,0.32875233794797293,12
142,543078,6,1.0,0.0,0.0,65.5,363.6666666666667,0.3870750661375661,185
143,554720,102,0.9901960784313726,0.00980392156862745,0.0,66.72549019607843,367.12745098039215,0.37580535618389804,6
144,561769,3,1.0,0.0,0.0,141.66666666666666,763.0,0.5102037538079204,108
145,568234,128,0.9453125,0.0,0.0546875,68.6484375,375.2578125,0.37689292432452154,4
146,570493,55,1.0,0.0,0.0,91.07272727272728,492.1636363636364,0.38240817808842964,132
147,579605,10,0.9,0.1,0.0,113.7,617.0,0.3113617959549412,57
148,583255,9,0.8888888888888888,0.0,0.1111111111111111,73.0,404.6666666666667,0.33532104644326866,10
149,585148,31,0.9354838709677419,0.0,0.06451612903225806,62.16129032258065,341.96774193548384,0.42233263960888123,9
150,586994,55,0.9636363636363636,0.0,0.03636363636363636,71.8,399.27272727272725,0.3669013152543908,31
151,594693,23,0.9565217391304348,0.0,0.043478260869565216,58.82608695652174,316.95652173913044,0.46204013347763345,62
152,619142,102,1.0,0.0,0.0,73.97058823529412,405.9901960784314,0.37771369745045763,23
153,625012,119,1.0,0.0,0.0,81.43697478991596,448.78991596638656,0.41194578209055466,105
154,627048,9,0.8888888888888888,0.0,0.1111111111111111,51.888888888888886,294.0,0.27512268518518523,123
155,629814,8,1.0,0.0,0.0,97.0,546.625,0.4346077257607588,10
156,639101,1,1.0,0.0,0.0,109.0,620.0,0.34654761904761905,8
157,646087,1,1.0,0.0,0.0,70.0,368.0,0.11770833333333333,1
158,650956,35,0.9428571428571428,0.0,0.05714285714285714,67.91428571428571,379.34285714285716,0.36053670099741525,1
159,658029,60,0.9333333333333333,0.03333333333333333,0.03333333333333333,73.81666666666666,404.56666666666666,0.37410123951811936,35
160,667325,57,1.0,0.0,0.0,67.9298245614035,369.03508771929825,0.3746979955854842,65
161,693353,16,0.9375,0.0,0.0625,46.3125,262.0,0.2856443358435546,58
162,697078,6,1.0,0.0,0.0,85.16666666666667,472.1666666666667,0.34290378097241697,17
163,705900,23,0.9130434782608695,0.0,0.08695652173913043,72.0,407.4347826086956,0.35054414872723744,8
164,705919,29,0.9310344827586207,0.0,0.06896551724137931,72.41379310344827,415.6896551724138,0.3192170319683662,25
165,708802,206,0.9951456310679612,0.0,0.0048543689320388345,76.05825242718447,424.5873786407767,0.40947673116652167,30
166,713627,1,1.0,0.0,0.0,46.0,242.0,0.48,221
167,716245,78,1.0,0.0,0.0,56.30769230769231,306.5,0.3838727453653049,1
168,716643,8,1.0,0.0,0.0,76.375,436.375,0.24006108116647337,86
169,721979,7,1.0,0.0,0.0,41.0,232.71428571428572,0.420734126984127,8
170,728238,84,0.9761904761904762,0.023809523809523808,0.0,57.773809523809526,307.10714285714283,0.35423358537952004,7
171,732932,18,0.9444444444444444,0.0,0.05555555555555555,78.61111111111111,432.1111111111111,0.38050095895541153,88
172,732999,12,1.0,0.0,0.0,93.91666666666667,511.25,0.4390413632423047,18
173,735970,3,1.0,0.0,0.0,81.33333333333333,465.0,0.5986111111111111,14
174,737519,3,1.0,0.0,0.0,42.0,222.33333333333334,0.4344940476190476,3
